,index,Fecha,N° de contagios,Masculino,Femenino,LIMA,ANCASH,PIURA,CALLAO,CAJAMARCA,LA LIBERTAD,LORETO,SAN MARTIN,ICA,AYACUCHO,LAMBAYEQUE,PUNO,UCAYALI,AREQUIPA,AMAZONAS,APURIMAC,CUSCO,HUANCAVELICA,HUANUCO,JUNIN,TACNA,PASCO,MOQUEGUA,TUMBES,MADRE DE DIOS,R0_por_dia,R0_LIMA,R0_ANCASH,R0_PIURA,R0_CALLAO,R0_CAJAMARCA,R0_LA LIBERTAD,R0_LORETO,R0_SAN MARTIN,R0_ICA,R0_AYACUCHO,R0_LAMBAYEQUE,R0_PUNO,R0_UCAYALI,R0_AREQUIPA,R0_AMAZONAS,R0_APURIMAC,R0_CUSCO,R0_HUANCAVELICA,R0_HUANUCO,R0_JUNIN,R0_TACNA,R0_PASCO,R0_MOQUEGUA,R0_TUMBES,R0_MADRE DE DIOS
47,47,2020-04-22,2069,1260,809,1419,29,72,121,34,43,18,4,32,2,136,6,24,43,3,3,19,4,5,20,6,2,4,7,13,0.9942335415665544,1.2035623409669212,0.6444444444444445,1.44,0.28403755868544606,3.7777777777777777,1.131578947368421,0.9473684210526316,0.8,1.4545454545454546,2.0,1.0381679389312977,0.4,1.0434782608695652,1.5357142857142858,0.42857142857142855,0.42857142857142855,2.7142857142857144,4.0,0.5,0.7142857142857143,1.2,0.18181818181818185,0.5714285714285714,3.5,2.6
48,48,2020-04-23,2029,1231,798,1273,47,102,159,8,40,25,2,34,2,177,8,15,56,2,3,14,3,9,22,4,4,6,12,2,0.9806669888835186,0.8971106412966878,1.6206896551724137,1.4166666666666667,1.3140495867768596,0.2352941176470588,0.9302325581395348,1.3888888888888888,0.5,1.0625,1.0,1.3014705882352942,1.3333333333333333,0.625,1.3023255813953492,0.6666666666666666,1.0,0.7368421052631579,0.75,1.8,1.1,0.6666666666666666,2.0,1.5,1.7142857142857142,0.15384615384615385
49,49,2020-04-24,2183,1328,855,1273,56,151,123,22,20,79,13,16,5,212,16,51,66,6,2,3,3,9,11,5,3,15,20,3,1.0758994578610153,1.0,1.1914893617021276,1.4803921568627452,0.7735849056603774,2.75,0.5,3.16,6.5,0.4705882352941176,2.5,1.1977401129943503,2.0,3.4,1.1785714285714286,3.0,0.6666666666666666,0.21428571428571427,1.0,1.0,0.5,1.25,0.75,2.5,1.6666666666666667,1.5
50,50,2020-04-25,2343,1378,965,1373,81,156,171,15,51,83,29,27,7,135,17,21,24,10,8,11,14,48,15,6,8,14,12,7,1.0732936326156666,1.0785545954438334,1.4464285714285714,1.033112582781457,1.3902439024390243,0.6818181818181818,2.55,1.0506329113924051,2.230769230769231,1.6875,1.4,0.6367924528301887,1.0625,0.4117647058823529,0.3636363636363637,1.6666666666666667,4.0,3.6666666666666665,4.666666666666667,5.333333333333333,1.3636363636363635,1.2,2.6666666666666665,0.9333333333333332,0.6,2.333333333333333
51,51,2020-04-26,1387,840,547,949,13,79,67,3,8,58,16,10,13,70,14,17,4,9,4,1,11,6,12,3,5,5,9,1,0.5919760990183526,0.6911871813546977,0.16049382716049382,0.5064102564102564,0.391812865497076,0.2,0.1568627450980392,0.6987951807228916,0.5517241379310345,0.3703703703703704,1.8571428571428568,0.5185185185185185,0.8235294117647058,0.8095238095238095,0.16666666666666666,0.9,0.5,0.09090909090909093,0.7857142857142857,0.125,0.8,0.5,0.625,0.35714285714285715,0.75,0.14285714285714285
52,52,2020-04-27,3361,2091,1270,1942,47,235,230,10,71,74,23,51,17,295,28,109,76,17,6,14,18,20,33,5,12,3,16,9,2.4232155731795237,2.0463645943098,3.615384615384616,2.9746835443037973,3.4328358208955225,3.333333333333333,8.875,1.2758620689655171,1.4375,5.1,1.3076923076923077,4.214285714285714,2.0,6.411764705882352,19.0,1.8888888888888888,1.5,14.0,1.6363636363636365,3.333333333333333,2.75,1.6666666666666667,2.4,0.6,1.7777777777777777,9.0
53,53,2020-04-28,3311,1988,1323,1676,91,138,199,14,175,173,42,90,13,240,22,184,76,32,6,23,13,15,43,14,5,12,12,3,0.9851234751562036,0.8630278063851701,1.9361702127659572,0.5872340425531914,0.8652173913043478,1.4,2.4647887323943656,2.3378378378378377,1.826086956521739,1.7647058823529411,0.7647058823529411,0.8135593220338984,0.7857142857142857,1.688073394495413,1.0,1.8823529411764703,1.0,1.6428571428571428,0.7222222222222222,0.75,1.303030303030303,2.8,0.4166666666666667,4.0,0.75,0.3333333333333333
54,54,2020-04-29,3942,2441,1501,2247,79,149,181,29,142,235,21,131,32,248,18,87,111,28,7,22,20,13,45,9,13,20,47,8,1.1905768649954696,1.340692124105012,0.8681318681318682,1.079710144927536,0.9095477386934674,2.071428571428572,0.8114285714285714,1.3583815028901731,0.5,1.4555555555555555,2.4615384615384617,1.0333333333333334,0.8181818181818182,0.4728260869565217,1.4605263157894737,0.875,1.1666666666666667,0.9565217391304348,1.5384615384615383,0.8666666666666667,1.0465116279069768,0.6428571428571429,2.6,1.6666666666666667,3.9166666666666665,2.6666666666666665
55,55,2020-04-30,3140,1871,1269,1708,108,178,253,47,114,94,15,41,13,212,18,79,69,15,13,17,7,19,66,10,1,10,30,3,0.7965499746321664,0.7601246105919003,1.3670886075949369,1.1946308724832215,1.3977900552486189,1.6206896551724137,0.8028169014084507,0.4,0.7142857142857143,0.31297709923664124,0.40625,0.8548387096774194,1.0,0.9080459770114944,0.6216216216216216,0.5357142857142857,1.8571428571428568,0.7727272727272727,0.35,1.4615384615384617,1.4666666666666666,1.1111111111111112,0.07692307692307693,0.5,0.6382978723404256,0.375
56,56,2020-05-01,2492,1440,1052,1372,63,139,114,19,52,144,18,35,12,227,8,76,38,47,0,6,49,8,26,4,5,11,17,2,0.7936305732484077,0.8032786885245902,0.5833333333333334,0.7808988764044944,0.4505928853754941,0.40425531914893614,0.456140350877193,1.5319148936170213,1.2,0.8536585365853658,0.9230769230769232,1.070754716981132,0.4444444444444444,0.9620253164556962,0.5507246376811594,3.1333333333333333,0.0,0.35294117647058826,7.0,0.42105263157894735,0.3939393939393939,0.4,5.0,1.1,0.5666666666666667,0.6666666666666666
57,57,2020-05-02,3246,1926,1320,1893,119,196,212,29,110,105,30,48,16,144,5,106,31,50,1,11,22,3,55,5,9,4,39,3,1.3025682182985554,1.379737609329446,1.8888888888888888,1.4100719424460433,1.8596491228070176,1.5263157894736843,2.1153846153846154,0.7291666666666666,1.6666666666666667,1.3714285714285714,1.3333333333333333,0.6343612334801763,0.625,1.3947368421052628,0.8157894736842105,1.0638297872340423,inf,1.8333333333333333,0.4489795918367347,0.375,2.1153846153846154,1.25,1.8,0.3636363636363637,2.294117647058824,1.5
