DEPARTAMENTO,GRUPO_EDAD,RANGO_EDAD,SEXO,TOTAL_POSITIVOS,TOTAL_FALLECIDOS,COD
LAMBAYEQUE,ADOLESCENTE,12 a 17 años,MASCULINO,94,0,LAMBA
LAMBAYEQUE,ADULTO,30 a 59 años,FEMENINO,2764,59,LAMBA
LAMBAYEQUE,ADULTO,30 a 59 años,MASCULINO,3349,128,LAMBA
LAMBAYEQUE,ADULTO MAYOR,60 años a más,FEMENINO,851,137,LAMBA
LAMBAYEQUE,ADULTO MAYOR,60 años a más,MASCULINO,1070,310,LAMBA
LAMBAYEQUE,JOVEN,18 a 29 años,FEMENINO,805,1,LAMBA
LAMBAYEQUE,JOVEN,18 a 29 años,MASCULINO,886,1,LAMBA
LAMBAYEQUE,NIÑO,0 a 11 años,FEMENINO,86,0,LAMBA
LAMBAYEQUE,NIÑO,0 a 11 años,MASCULINO,70,0,LAMBA
LIMA,ADOLESCENTE,12 a 17 años,FEMENINO,924,1,LIMA
LIMA,ADOLESCENTE,12 a 17 años,MASCULINO,765,2,LIMA
LIMA,ADULTO,30 a 59 años,FEMENINO,28169,150,LIMA
LIMA,ADULTO,30 a 59 años,MASCULINO,43084,572,LIMA
LIMA,ADULTO MAYOR,60 años a más,FEMENINO,9201,528,LIMA
LIMA,ADULTO MAYOR,60 años a más,MASCULINO,11431,1161,LIMA
LIMA,JOVEN,18 a 29 años,FEMENINO,8856,7,LIMA
LIMA,JOVEN,18 a 29 años,MASCULINO,13547,20,LIMA
LIMA,NIÑO,0 a 11 años,FEMENINO,1351,3,LIMA
LIMA,NIÑO,0 a 11 años,MASCULINO,1473,5,LIMA
LORETO,ADOLESCENTE,12 a 17 años,FEMENINO,70,0,LORET
LORETO,ADOLESCENTE,12 a 17 años,MASCULINO,77,1,LORET
LORETO,ADULTO,30 a 59 años,FEMENINO,1773,21,LORET
LORETO,ADULTO,30 a 59 años,MASCULINO,2349,77,LORET
LORETO,ADULTO MAYOR,60 años a más,FEMENINO,328,60,LORET
LORETO,ADULTO MAYOR,60 años a más,MASCULINO,384,144,LORET
LORETO,JOVEN,18 a 29 años,FEMENINO,566,0,LORET
LORETO,JOVEN,18 a 29 años,MASCULINO,770,4,LORET
LORETO,NIÑO,0 a 11 años,FEMENINO,85,1,LORET
LORETO,NIÑO,0 a 11 años,MASCULINO,90,0,LORET
MADRE DE DIOS,ADOLESCENTE,12 a 17 años,FEMENINO,16,0,MADRE
MADRE DE DIOS,ADOLESCENTE,12 a 17 años,MASCULINO,14,0,MADRE
MADRE DE DIOS,ADULTO,30 a 59 años,FEMENINO,238,1,MADRE
MADRE DE DIOS,ADULTO,30 a 59 años,MASCULINO,266,2,MADRE
MADRE DE DIOS,ADULTO MAYOR,60 años a más,FEMENINO,26,3,MADRE
MADRE DE DIOS,ADULTO MAYOR,60 años a más,MASCULINO,74,5,MADRE
MADRE DE DIOS,JOVEN,18 a 29 años,FEMENINO,78,1,MADRE
MADRE DE DIOS,JOVEN,18 a 29 años,MASCULINO,78,0,MADRE
MADRE DE DIOS,NIÑO,0 a 11 años,FEMENINO,11,0,MADRE
MADRE DE DIOS,NIÑO,0 a 11 años,MASCULINO,6,0,MADRE
MOQUEGUA,ADOLESCENTE,12 a 17 años,FEMENINO,6,0,MOQUE
MOQUEGUA,ADOLESCENTE,12 a 17 años,MASCULINO,5,0,MOQUE
MOQUEGUA,ADULTO,30 a 59 años,FEMENINO,234,0,MOQUE
MOQUEGUA,ADULTO,30 a 59 años,MASCULINO,226,0,MOQUE
MOQUEGUA,ADULTO MAYOR,60 años a más,FEMENINO,57,2,MOQUE
MOQUEGUA,ADULTO MAYOR,60 años a más,MASCULINO,69,2,MOQUE
